Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1673.9839872860653
FDW14,OUT017,1349.5129043321308
NCN55,OUT010,471.3068466911764
FDQ58,OUT017,2432.6625807321775
FDY38,OUT027,5041.821497446804
FDH56,OUT046,1892.0661445161302
FDL48,OUT018,790.3307954098361
FDC48,OUT027,2846.4008225165553
FDN33,OUT045,1559.9736407643304
FDA36,OUT017,3190.643467582416
FDT44,OUT017,1892.0661445161302
FDQ56,OUT045,1349.5129043321308
NCC54,OUT019,471.3068466911764
FDU11,OUT049,2006.4707423197492
DRL59,OUT013,790.3307954098361
FDM24,OUT049,2432.6625807321775
FDI57,OUT045,3011.5252991596644
DRC12,OUT018,3011.5252991596644
NCM42,OUT027,2846.4008225165553
FDA46,OUT010,471.3068466911764
FDA31,OUT013,2843.5697892156873
NCJ31,OUT035,3549.8509475083047
FDG52,OUT046,790.3307954098361
NCL19,OUT019,207.13050352504646
FDS10,OUT035,3190.643467582416
FDX22,OUT010,471.3068466911764
NCF19,OUT035,790.3307954098361
NCE06,OUT046,2633.839843902438
DRC27,OUT046,3805.9486041666655
FDE21,OUT035,1892.0661445161302
NCR42,OUT019,207.13050352504646
FDX51,OUT018,3011.5252991596644
NCR06,OUT018,646.0888157894742
FDU31,OUT027,5041.821497446804
FDU59,OUT017,2633.839843902438
FDR03,OUT027,5041.821497446804
FDS49,OUT027,2846.4008225165553
FDD48,OUT010,207.13050352504646
NCF18,OUT017,3011.5252991596644
NCD43,OUT027,2846.4008225165553
NCD54,OUT018,2117.451380327869
FDY19,OUT010,207.13050352504646
NCY54,OUT017,2843.5697892156873
NCL19,OUT018,2432.6625807321775
FDP23,OUT010,471.3068466911764
FDC26,OUT013,1673.9839872860653
FDR14,OUT010,207.13050352504646
NCS41,OUT035,3190.643467582416
FDF41,OUT035,3549.8509475083047
FDU34,OUT046,2117.451380327869
DRH11,OUT046,1068.5067658349317
FDM03,OUT013,1673.9839872860653
FDS31,OUT017,3190.643467582416
FDJ20,OUT017,2117.451380327869
FDV44,OUT027,5041.821497446804
FDG02,OUT049,3190.643467582416
FDA09,OUT013,2843.5697892156873
FDT04,OUT013,646.0888157894742
FDL58,OUT019,471.3068466911764
FDE52,OUT045,1349.5129043321308
FDW12,OUT035,2432.6625807321775
FDL51,OUT017,3805.9486041666655
NCY42,OUT027,2846.4008225165553
FDR07,OUT017,1559.9736407643304
FDN40,OUT045,2432.6625807321775
FDB35,OUT027,2846.4008225165553
FDA22,OUT017,2633.839843902438
NCL06,OUT046,4125.1744745406795
FDI35,OUT013,3190.643467582416
NCW42,OUT045,3805.9486041666655
NCX06,OUT049,2843.5697892156873
FDC37,OUT027,2846.4008225165553
FDZ14,OUT018,2006.4707423197492
DRG49,OUT049,3549.8509475083047
NCG06,OUT045,4125.1744745406795
DRC36,OUT045,2843.5697892156873
FDV21,OUT019,207.13050352504646
FDB53,OUT046,2432.6625807321775
DRP47,OUT019,471.3068466911764
FDA14,OUT013,2432.6625807321775
DRC24,OUT035,2432.6625807321775
FDW21,OUT018,1559.9736407643304
NCH29,OUT046,1559.9736407643304
FDU58,OUT013,3190.643467582416
FDY27,OUT017,2843.5697892156873
FDV56,OUT035,1673.9839872860653
FDT59,OUT046,3805.9486041666655
FDB23,OUT046,3805.9486041666655
FDR49,OUT045,790.3307954098361
FDB03,OUT010,471.3068466911764
FDN39,OUT045,2633.839843902438
FDX02,OUT027,5041.821497446804
FDQ16,OUT027,2846.4008225165553
FDU35,OUT018,1559.9736407643304
NCT29,OUT013,2006.4707423197492
FDZ27,OUT046,790.3307954098361
FDN57,OUT017,2117.451380327869
FDA03,OUT018,2432.6625807321775
FDZ36,OUT045,3190.643467582416
NCU05,OUT013,1349.5129043321308
FDT39,OUT018,2432.6625807321775
FDK60,OUT017,1559.9736407643304
FDZ25,OUT017,2633.839843902438
FDG12,OUT046,2006.4707423197492
DRB01,OUT019,471.3068466911764
NCC43,OUT027,5041.821497446804
FDX13,OUT019,471.3068466911764
FDM22,OUT049,1068.5067658349317
FDJ03,OUT027,790.3307954098361
FDU14,OUT018,4125.1744745406795
FDB33,OUT010,471.3068466911764
FDP27,OUT046,3011.5252991596644
FDO38,OUT010,207.13050352504646
FDE28,OUT027,5041.821497446804
FDO27,OUT035,1559.9736407643304
DRL23,OUT027,2846.4008225165553
FDS28,OUT046,1068.5067658349317
FDX24,OUT013,1349.5129043321308
FDZ02,OUT035,1559.9736407643304
FDL46,OUT045,1892.0661445161302
FDS60,OUT027,5041.821497446804
NCO06,OUT017,646.0888157894742
FDO16,OUT035,1349.5129043321308
FDC60,OUT049,1349.5129043321308
FDA48,OUT018,3549.8509475083047
FDZ36,OUT027,5041.821497446804
FDK27,OUT045,2006.4707423197492
FDW23,OUT018,646.0888157894742
FDM14,OUT018,1673.9839872860653
FDM14,OUT013,1673.9839872860653
FDW60,OUT018,2843.5697892156873
FDE21,OUT013,1892.0661445161302
NCM42,OUT035,1673.9839872860653
FDY59,OUT010,207.13050352504646
DRI49,OUT049,1349.5129043321308
FDT28,OUT019,471.3068466911764
FDQ22,OUT018,646.0888157894742
FDR60,OUT049,1349.5129043321308
FDC50,OUT019,207.13050352504646
FDV24,OUT013,2432.6625807321775
DRF48,OUT010,471.3068466911764
FDQ47,OUT046,646.0888157894742
DRN36,OUT049,1559.9736407643304
NCY06,OUT035,2117.451380327869
FDE52,OUT035,1349.5129043321308
NCB54,OUT045,2006.4707423197492
NCF31,OUT035,2432.6625807321775
FDJ08,OUT027,5041.821497446804
NCC07,OUT017,1673.9839872860653
NCD19,OUT027,1068.5067658349317
FDL46,OUT049,1892.0661445161302
FDM20,OUT045,3805.9486041666655
NCI06,OUT010,471.3068466911764
DRM11,OUT035,4125.1744745406795
NCH07,OUT018,2633.839843902438
FDS23,OUT013,2006.4707423197492
FDO49,OUT018,790.3307954098361
FDS35,OUT049,1068.5067658349317
DRK39,OUT045,1349.5129043321308
DRI39,OUT049,1068.5067658349317
FDV04,OUT017,2633.839843902438
NCN14,OUT035,3190.643467582416
FDH08,OUT013,3805.9486041666655
FDS20,OUT046,3190.643467582416
FDV40,OUT049,1068.5067658349317
FDZ48,OUT010,207.13050352504646
FDS24,OUT027,2846.4008225165553
FDK44,OUT049,2843.5697892156873
FDS48,OUT045,2432.6625807321775
FDK26,OUT010,471.3068466911764
FDD23,OUT045,3190.643467582416
NCH54,OUT017,2633.839843902438
NCP14,OUT010,207.13050352504646
FDM60,OUT010,207.13050352504646
FDV24,OUT017,2432.6625807321775
FDH08,OUT018,3805.9486041666655
FDS12,OUT027,2846.4008225165553
FDR39,OUT027,5041.821497446804
FDP12,OUT027,646.0888157894742
DRF60,OUT027,5041.821497446804
FDC09,OUT035,1673.9839872860653
FDF50,OUT018,3011.5252991596644
FDG28,OUT035,3805.9486041666655
NCE19,OUT017,1068.5067658349317
NCM53,OUT010,207.13050352504646
NCN18,OUT049,1673.9839872860653
FDF32,OUT035,3011.5252991596644
FDF11,OUT013,3805.9486041666655
DRI59,OUT049,3805.9486041666655
NCG54,OUT035,2633.839843902438
FDM44,OUT046,1559.9736407643304
FDT57,OUT018,3805.9486041666655
FDV24,OUT046,2432.6625807321775
FDI50,OUT019,471.3068466911764
FDS09,OUT035,790.3307954098361
