Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1848.5360478332063
FDW14,OUT017,1472.8167043467604
NCN55,OUT010,1875.6528589428963
FDQ58,OUT017,2593.6446904971826
FDY38,OUT027,5181.558341361708
FDH56,OUT046,1929.5441416826525
FDL48,OUT018,599.559252778676
FDC48,OUT027,2785.374528249258
FDN33,OUT045,1511.672958574381
FDA36,OUT017,3092.9329396196854
FDT44,OUT017,1990.652254842796
FDQ56,OUT045,1310.7967501522808
NCC54,OUT019,1850.4204701724493
FDU11,OUT049,2056.455326474128
DRL59,OUT013,863.1820557160027
FDM24,OUT049,2560.9554667923835
FDI57,OUT045,3082.6540637653347
DRC12,OUT018,2761.772689708626
NCM42,OUT027,3198.637824504158
FDA46,OUT010,1127.5311707592336
FDA31,OUT013,2802.465176924305
NCJ31,OUT035,3868.440108961399
FDG52,OUT046,772.0289774361514
NCL19,OUT019,368.80620447701995
FDS10,OUT035,3021.1603000675864
FDX22,OUT010,1470.3870733970502
NCF19,OUT035,925.6346340875682
NCE06,OUT046,2538.183222760433
DRC27,OUT046,3849.82678536223
FDE21,OUT035,2000.19836041496
NCR42,OUT019,-1358.448875668138
FDX51,OUT018,2876.745245803821
NCR06,OUT018,433.68143720514456
FDU31,OUT027,4953.875894249833
FDU59,OUT017,2713.0407667775676
FDR03,OUT027,4762.006320803972
FDS49,OUT027,2755.254032682472
FDD48,OUT010,-65.5316985675031
NCF18,OUT017,3113.648647135797
NCD43,OUT027,3104.464323311425
NCD54,OUT018,1992.4352624736425
FDY19,OUT010,-65.81468751894909
NCY54,OUT017,2808.879034331627
NCL19,OUT018,2022.6901783157018
FDP23,OUT010,1539.0815568268508
FDC26,OUT013,1818.5202771082659
FDR14,OUT010,-1044.9910231598692
NCS41,OUT035,3030.2701837270347
FDF41,OUT035,4044.523244064849
FDU34,OUT046,1996.7803865483543
DRH11,OUT046,930.5954574331379
FDM03,OUT013,1732.6542618981323
FDS31,OUT017,3030.857134960187
FDJ20,OUT017,2096.286415970402
FDV44,OUT027,4497.76426373158
FDG02,OUT049,3114.1310682519875
FDA09,OUT013,2949.9505561373503
FDT04,OUT013,642.2535009714724
FDL58,OUT019,2291.620524441115
FDE52,OUT045,1450.8800550785325
FDW12,OUT035,2514.140923824873
FDL51,OUT017,3553.6354660790184
NCY42,OUT027,3695.0472364586985
FDR07,OUT017,1660.6567672186761
FDN40,OUT045,2364.0621636862684
FDB35,OUT027,2960.572574656501
FDA22,OUT017,2787.405972158018
NCL06,OUT046,4112.721823910693
FDI35,OUT013,2916.7713787941925
NCW42,OUT045,3409.653943681626
NCX06,OUT049,2943.1713043757213
FDC37,OUT027,3202.277820884447
FDZ14,OUT018,1741.1222608153098
DRG49,OUT049,3956.8585892299375
NCG06,OUT045,3958.111783789476
DRC36,OUT045,2726.573833132867
FDV21,OUT019,42.097955950634116
FDB53,OUT046,2349.1604659958075
DRP47,OUT019,2024.8696995514015
FDA14,OUT013,2316.8817462757324
DRC24,OUT035,2571.2093652989133
FDW21,OUT018,1417.1044581295753
NCH29,OUT046,1560.0106086231249
FDU58,OUT013,3085.348406582885
FDY27,OUT017,2940.6323899046256
FDV56,OUT035,1958.1717022880798
FDT59,OUT046,3631.0977202716817
