Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1649.7203941559874
FDW14,OUT017,1355.4160781135529
NCN55,OUT010,592.3549084453416
FDQ58,OUT017,2470.366493590771
FDY38,OUT027,6180.992763010697
FDH56,OUT046,1954.4121137458349
FDL48,OUT018,754.7050108198714
FDC48,OUT027,2157.485856165991
FDN33,OUT045,1524.3248135964946
FDA36,OUT017,3115.878245316562
FDT44,OUT017,1953.3531966154974
FDQ56,OUT045,1358.2187146186636
NCC54,OUT019,572.8804753458508
FDU11,OUT049,2030.5419767196383
DRL59,OUT013,791.8367086928159
FDM24,OUT049,2451.6775738485608
FDI57,OUT045,3046.519811848721
DRC12,OUT018,2961.55154084337
NCM42,OUT027,2955.2489968887508
FDA46,OUT010,490.5793079768328
FDA31,OUT013,2858.436850993826
NCJ31,OUT035,3863.0434063876264
FDG52,OUT046,763.4387247001255
NCL19,OUT019,297.8364183900145
FDS10,OUT035,3048.4788461214025
FDX22,OUT010,555.9657324996671
NCF19,OUT035,763.4387247001255
NCE06,OUT046,2548.0810470984848
DRC27,OUT046,3926.806937945082
FDE21,OUT035,1965.3171689248472
NCR42,OUT019,92.52461062868973
FDX51,OUT018,2976.8196362834333
NCR06,OUT018,610.4330233009372
FDU31,OUT027,5542.354477704749
FDU59,OUT017,2563.191684730891
FDR03,OUT027,5538.924492300734
FDS49,OUT027,2118.826602442731
FDD48,OUT010,258.733869166362
NCF18,OUT017,3078.599943484278
NCD43,OUT027,2563.9423859723684
NCD54,OUT018,2046.0255314837618
FDY19,OUT010,265.0639412541215
NCY54,OUT017,2865.458263993141
NCL19,OUT018,2409.3780242903067
FDP23,OUT010,555.7589175670096
FDC26,OUT013,1752.711139181086
FDR14,OUT010,163.43506426333195
NCS41,OUT035,3122.2369194565226
FDF41,OUT035,3907.2710794050904
FDU34,OUT046,2050.1915252187728
DRH11,OUT046,868.5424764773744
FDM03,OUT013,1653.292735698568
FDS31,OUT017,3090.3623393641637
FDJ20,OUT017,2026.229067710461
FDV44,OUT027,5123.236389425295
FDG02,OUT049,3129.064753008169
FDA09,OUT013,2992.8781731542244
FDT04,OUT013,609.2013626932268
FDL58,OUT019,573.0164078941208
FDE52,OUT045,1386.9315298486915
FDW12,OUT035,2520.130476847798
FDL51,OUT017,3695.3675278892188
NCY42,OUT027,3357.278284319934
FDR07,OUT017,1541.214876992334
FDN40,OUT045,2462.494364196327
FDB35,OUT027,2540.944433425247
FDA22,OUT017,2563.191684730891
NCL06,OUT046,4155.05009231758
FDI35,OUT013,3071.4610912395938
NCW42,OUT045,3760.598686294349
NCX06,OUT049,3056.7926721040512
FDC37,OUT027,2594.4349054403738
FDZ14,OUT018,1908.4227226905998
DRG49,OUT049,3922.101645566153
NCG06,OUT045,4103.279134959198
DRC36,OUT045,2857.099780224137
FDV21,OUT019,297.69584040451167
FDB53,OUT046,2502.22704247503
DRP47,OUT019,574.8780924690443
FDA14,OUT013,2487.093402214298
DRC24,OUT035,2553.9525491869836
FDW21,OUT018,1597.2481875406
NCH29,OUT046,1552.6170577196567
FDU58,OUT013,3094.252581362544
FDY27,OUT017,2896.5697817579144
FDV56,OUT035,1666.0043030040958
FDT59,OUT046,3882.960334239211
FDB23,OUT046,3812.1699479126487
FDR49,OUT045,759.0656169246438
FDB03,OUT010,589.9498295167336
FDN39,OUT045,2644.059401302826
FDX02,OUT027,5790.455274957732
FDQ16,OUT027,2595.7833140692055
FDU35,OUT018,1541.9575722739849
NCT29,OUT013,2036.6614410927943
FDZ27,OUT046,763.4387247001255
FDN57,OUT017,2045.573167170873
FDA03,OUT018,2412.756604951496
FDZ36,OUT045,3076.7167867982007
NCU05,OUT013,1319.049605194687
FDT39,OUT018,2367.4036455182645
FDK60,OUT017,1539.5247675668488
FDZ25,OUT017,2809.692039179223
FDG12,OUT046,2061.434791941009
DRB01,OUT019,501.8429647280412
NCC43,OUT027,6184.428218140882
FDX13,OUT019,577.3080427495914
FDM22,OUT049,825.0026902352984
FDJ03,OUT027,1211.2248701986923
FDU14,OUT018,3690.6459779070533
FDB33,OUT010,377.9649751456854
FDP27,OUT046,3103.3649202714087
FDO38,OUT010,175.7853242577495
FDE28,OUT027,6180.992763010697
FDO27,OUT035,1523.48715343258
DRL23,OUT027,2586.638182303927
FDS28,OUT046,865.6160448779334
FDX24,OUT013,1455.5662987298158
FDZ02,OUT035,1545.7451232507738
FDL46,OUT045,1922.751922250274
FDS60,OUT027,4892.376217043285
NCO06,OUT017,598.2823964144104
FDO16,OUT035,1356.5752271806516
FDC60,OUT049,1360.5061217476948
FDA48,OUT018,3294.9625473236943
FDZ36,OUT027,5122.975827618643
FDK27,OUT045,2027.5763089188893
FDW23,OUT018,603.2411491175025
FDM14,OUT018,1665.284120733707
FDM14,OUT013,1657.5464835531423
FDW60,OUT018,2796.6587942724964
FDE21,OUT013,1961.4293694537184
NCM42,OUT035,1667.739765847615
FDY59,OUT010,209.7289175395794
DRI49,OUT049,1301.8994173045537
FDT28,OUT019,338.1490576600733
FDQ22,OUT018,603.2411491175025
FDR60,OUT049,1261.0114832953645
FDC50,OUT019,239.33884048349282
FDV24,OUT013,2432.950757633567
DRF48,OUT010,475.5761819470673
FDQ47,OUT046,604.284597034258
DRN36,OUT049,1541.260230410368
NCY06,OUT035,2046.3497487179463
FDE52,OUT035,1388.7684085477529
NCB54,OUT045,2012.0541000244557
NCF31,OUT035,2515.11780509761
FDJ08,OUT027,5223.605999811708
NCC07,OUT017,1649.7203941559874
NCD19,OUT027,1609.622938890304
FDL46,OUT049,1991.0809115393154
FDM20,OUT045,3942.8871265336206
NCI06,OUT010,448.6967214962713
DRM11,OUT035,4199.714874077259
NCH07,OUT018,2484.085038659934
FDS23,OUT013,2047.137705412371
FDO49,OUT018,753.0716308253607
FDS35,OUT049,1046.1187798757446
DRK39,OUT045,1337.2198214793452
DRI39,OUT049,870.6908958200802
FDV04,OUT017,2541.5983269554486
NCN14,OUT035,3104.4770903038075
FDH08,OUT013,3875.260200481164
FDS20,OUT046,3126.153182719435
FDV40,OUT049,1154.2760817496167
FDZ48,OUT010,246.0640085152676
FDS24,OUT027,2427.162884652847
FDK44,OUT049,2880.589949462551
FDS48,OUT045,2511.9932629954783
FDK26,OUT010,504.55992596485186
FDD23,OUT045,3058.280070581515
NCH54,OUT017,2601.3757751036346
NCP14,OUT010,226.429112453052
FDM60,OUT010,92.52461062868973
